platform,city,restaurant_name,rating,eta,product_name,price,url,scrape_time,eta_num,product_clean,product_category,price_num
uber_eats,CDMX,KFC (Juárez-736),4.3,10 min,megacombo ke-tiras burger + ke-tira,$98,https://www.ubereats.com/mx/store/kfc-juarez-736/QnoE4oiMQOaPXA6_RGrjrg?diningMode=DELIVERY&surfaceName=,2026-04-17T19:24:53.530460,10.0,megacombo ke-tiras burger + ke-tira,combo,98
uber_eats,CDMX,KFC (Juárez-736),4.3,10 min,megacombo big krunch + ke-tira,$98,https://www.ubereats.com/mx/store/kfc-juarez-736/QnoE4oiMQOaPXA6_RGrjrg?diningMode=DELIVERY&surfaceName=,2026-04-17T19:24:53.530467,10.0,megacombo big krunch + ke-tira,combo,98
uber_eats,CDMX,KFC (Juárez-736),4.3,10 min,megacombo big krunch + pieza,$98,https://www.ubereats.com/mx/store/kfc-juarez-736/QnoE4oiMQOaPXA6_RGrjrg?diningMode=DELIVERY&surfaceName=,2026-04-17T19:24:53.530468,10.0,megacombo big krunch + pieza,combo,98
uber_eats,CDMX,KFC (Juárez-736),4.3,10 min,combo big krunch,$90,https://www.ubereats.com/mx/store/kfc-juarez-736/QnoE4oiMQOaPXA6_RGrjrg?diningMode=DELIVERY&surfaceName=,2026-04-17T19:24:53.530469,10.0,combo big krunch,combo,90
uber_eats,CDMX,KFC (Juárez-736),4.3,10 min,combo ke-tiras burger,$90,https://www.ubereats.com/mx/store/kfc-juarez-736/QnoE4oiMQOaPXA6_RGrjrg?diningMode=DELIVERY&surfaceName=,2026-04-17T19:24:53.530471,10.0,combo ke-tiras burger,combo,90
uber_eats,CDMX,KFC (Juárez-736),4.3,10 min,combo 3 ke-tiras (fanta),$89,https://www.ubereats.com/mx/store/kfc-juarez-736/QnoE4oiMQOaPXA6_RGrjrg?diningMode=DELIVERY&surfaceName=,2026-04-17T19:24:53.530472,10.0,combo 3 ke-tiras (fanta),combo,89
uber_eats,CDMX,KFC (Juárez-736),4.3,10 min,megacombo kruncher + pieza,$96,https://www.ubereats.com/mx/store/kfc-juarez-736/QnoE4oiMQOaPXA6_RGrjrg?diningMode=DELIVERY&surfaceName=,2026-04-17T19:24:53.530479,10.0,megacombo kruncher + pieza,combo,96
uber_eats,CDMX,KFC (Juárez-736),4.3,10 min,megacombo kruncher + ke-tira,$96,https://www.ubereats.com/mx/store/kfc-juarez-736/QnoE4oiMQOaPXA6_RGrjrg?diningMode=DELIVERY&surfaceName=,2026-04-17T19:24:53.530479,10.0,megacombo kruncher + ke-tira,combo,96
uber_eats,CDMX,McDonald's Centro,4.6,10 min,big mac + papas grandes 30% off,$70,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465531,10.0,big mac + papas grandes 30% off,big_mac,70
uber_eats,CDMX,McDonald's Centro,4.6,10 min,10 mcnuggets + papas grandes 30% off,$55,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465537,10.0,10 mcnuggets + papas grandes 30% off,nuggets,55
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mctrío big mac,$80,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465538,10.0,mctrío big mac,big_mac,80
uber_eats,CDMX,McDonald's Centro,4.6,10 min,cajita feliz mcnuggets 4 piezas,$70,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465539,10.0,cajita feliz mcnuggets 4 piezas,nuggets,70
uber_eats,CDMX,McDonald's Centro,4.6,10 min,big mac + mcpatatas con queso,$75,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465540,10.0,big mac + mcpatatas con queso,big_mac,75
uber_eats,CDMX,McDonald's Centro,4.6,10 min,¡big mac + unas deliciosas mcpatatas con queso! a un súper precio,$75,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465541,10.0,¡big mac + unas deliciosas mcpatatas con queso! a un súper precio,big_mac,75
uber_eats,CDMX,McDonald's Centro,4.6,10 min,30 mcnuggets + 2 papas gd's,$70,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465542,10.0,30 mcnuggets + 2 papas gd's,nuggets,70
uber_eats,CDMX,McDonald's Centro,4.6,10 min,2 hamburguesas con queso + 2 mcnuggets,$65,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465544,10.0,2 hamburguesas con queso + 2 mcnuggets,nuggets,65
uber_eats,CDMX,McDonald's Centro,4.6,10 min,disfruta de 2 cheese burger + 2 piezas de mcnuggets,$65,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465545,10.0,disfruta de 2 cheese burger + 2 piezas de mcnuggets,nuggets,65
uber_eats,CDMX,McDonald's Centro,4.6,10 min,4 hamburguesas c/q + 10 mcnuggets + 2 papas gd's,$120,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465546,10.0,4 hamburguesas c/q + 10 mcnuggets + 2 papas gd's,nuggets,120
uber_eats,CDMX,McDonald's Centro,4.6,10 min,4 hamburguesas con queso + 2 papas grandes + 1 nuggets de 10 piezas,$118,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465547,10.0,4 hamburguesas con queso + 2 papas grandes + 1 nuggets de 10 piezas,nuggets,118
uber_eats,CDMX,McDonald's Centro,4.6,10 min,2 hamburguesas con queso + 2 mcpollo + 2 papas grandes + 1 nuggets de 6 piezas,$115,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465548,10.0,2 hamburguesas con queso + 2 mcpollo + 2 papas grandes + 1 nuggets de 6 piezas,nuggets,115
uber_eats,CDMX,McDonald's Centro,4.6,10 min,exclusivo uber: mct nuggets 10 piezas + hamburguesa con queso,$85,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465549,10.0,exclusivo uber: mct nuggets 10 piezas + hamburguesa con queso,nuggets,85
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mctrío nuggets 10 piezas + hamburguesa con queso,$89,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465549,10.0,mctrío nuggets 10 piezas + hamburguesa con queso,nuggets,89
uber_eats,CDMX,McDonald's Centro,4.6,10 min,10 mcnuggets + papas grandes,$65,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465553,10.0,10 mcnuggets + papas grandes,nuggets,65
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mctrío nuggets 10 piezas,$79,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465560,10.0,mctrío nuggets 10 piezas,nuggets,79
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mcnuggets de 10,$69,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465563,10.0,mcnuggets de 10,nuggets,69
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mcnuggets de 6,$59,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465565,10.0,mcnuggets de 6,nuggets,59
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo whopper,$99,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428394,13.0,combo whopper,combo,99
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo whopper + pay o 4 nuggets gratis,$105,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428401,13.0,combo whopper + pay o 4 nuggets gratis,combo,105
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo mega stacker doble,$119,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428402,13.0,combo mega stacker doble,combo,119
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo king de pollo,$95,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428404,13.0,combo king de pollo,combo,95
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,10 nuggets,$69,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428405,13.0,10 nuggets,nuggets,69
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo 3 quesos y tocino crispy king,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428406,13.0,combo 3 quesos y tocino crispy king,combo,109
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo xtreme,$115,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428407,13.0,combo xtreme,combo,115
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo honey chipotle crispy king,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428408,13.0,combo honey chipotle crispy king,combo,109
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo 10 nuggets,$85,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428409,13.0,combo 10 nuggets,combo,85
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo long rodeo,$89,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428410,13.0,combo long rodeo,combo,89
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo mega stacker chipotle doble,$119,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428411,13.0,combo mega stacker chipotle doble,combo,119
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combos para 1,$95,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428412,13.0,combos para 1,combo,95
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo whopper doble con queso,$119,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428417,13.0,combo whopper doble con queso,combo,119
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo guacamole crunch king,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428422,13.0,combo guacamole crunch king,combo,109
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,combo classic crispy king,$99,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428425,13.0,combo classic crispy king,combo,99
uber_eats,CDMX,Burger King (Centro GDL),4.3,13 min,elige tu combo boneless,$109,https://www.ubereats.com/mx/store/burger-king-centro-gdl/zrUEF10bTvqwffNi_pLpWg?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:53.428429,13.0,elige tu combo boneless,combo,109
